"SKU","Product Name","Base Image","Small Image","Thumb Image","Large Image","Gallery Image 2","Gallery Image 3","Gallery Image 4","Gallery Image 5"
"gift-voucher","Gift Voucher","giftvoucher.jpg","giftvoucher.jpg","giftvoucher.jpg","giftvoucher.jpg","giftvoucher.jpg",,,
"ANEOHBKP","Executive Office Chair Black - High Back",,,,,,,,
"ANEOHCRP","Executive Office Chair Cream - High Back",,,,,,,,
"ANMOMBKM","Mesh Ergonomic Office Chair Black - Medium Back",,,,,,,,
"ANMOHBKM","Mesh Ergonomic Office Chair Black - High Back",,,,,,,,
"LFBVLBKM","Value Office Chair",,,,,,,,
"YSEMMGRF","Management Office Chair - Eames Reproduction - Special Edition - Fabric",,,,,,,,
"YSMCLBKM","Designer Mesh Executive Office Chair - Low Back Black",,,,,,,,
"YSMCHBKM","Designer Mesh Executive Office Chair - High Back Black",,,,,,,,
"YSMCLWHM","Designer Mesh Executive Office Chair - Low Back White",,,,,,,,
"YSMCHWHM","Designer Mesh Executive Office Chair - High Back White",,,,,,,,
"ZSSLPBLC","Ergo Body Task Chair - Black",,,,,,,,
"ZSSLPGRM","Ergo Body Task Chair - Grey",,,,,,,,
"ANBRDBKL","Boardroom Executive Office Chair",,,,,,,,
"YSESPHBKL","SOFT PAD Management Office Chair - Eames Reproduction - High Back Black",,,,,,,,
"YSESPBKL","SOFT PAD Management Office Chair - Eames Reproduction - Black",,,,,,,,
"YSEMHBKL","Management Office Chair - Eames Reproduction - High Back Black",,,,,,,,
"YSEMOBKL","Management Office Chair - Eames Reproduction - Black",,,,,,,,
"YSEMOBRL","Management Office Chair - Eames Reproduction - Brown",,,,,,,,
"YSEMORDL","Management Office Chair - Eames Reproduction - Red",,,,,,,,
"YSEMHRDL","Management Office Chair - Eames Reproduction - High Back Red",,,,,,,,
"YSESPWHL","SOFT PAD Management Office Chair - Eames Reproduction - White",,,,,,,,
"YSEMOWHL","Management Office Chair - Eames Reproduction - White",,,,,,,,
"YSEMHWHL","Management Office Chair - Eames Reproduction - High Back White",,,,,,,,
"YSEMOAQL","Management Office Chair - Eames Reproduction - Aqua",,,,,,,,
"YSEMOLGL","Management Office Chair - Eames Reproduction - Light Green",,,,,,,,
"YSEMOOGL","Management Office Chair - Eames Reproduction - Orange",,,,,,,,
"YSEMOPKL","Management Office Chair - Eames Reproduction - Pink",,,,,,,,
"YSEMOYLL","Management Office Chair - Eames Reproduction - Yellow",,,,,,,,
"ADELOBKL","Premium Lobby Executive Office Chair - Eames Reproduction - Black",,,,,,,,
"YSELOBKL","Eames Office Replica Executive Chair",,,,,,,,
"HIELOYLL","Premium Lobby Executive Office Chair - Eames Reproduction - Yellow",,,,,,,,
"YSEMNBKL","Aluminium Visitor Mesh Office Chair - Eames Reproduction  Black  no armrests",,,,,,,,
"YSEMABKL","Aluminium Visitor Mesh Office Chair - Eames Reproduction - Black",,,,,,,,
"YSEMNWHL","Aluminium Visitor Mesh Office Chair - Eames Reproduction  White  no armrests",,,,,,,,
"YSEMAWHL","Aluminium Visitor Mesh Office Chair - Eames Reproduction - White",,,,,,,,
"ANEOABKA","Deluxe Mesh Ergonomic Office Chair With Headrest",,,,,,,,
"ANENOBKA","Deluxe Mesh Ergonomic Office Chair - Low Back",,,,,,,,
"ZSSLDBLM","Multi-Adjustable - Posture Management Office Chair - Blue",,,,,,,,
"ZSSLABKM","Ergonomic 2020 - Posture Management Office Chair",,,,,,,,
"COEESBKM","ErgoFlex Space Office Chair - High Back Black",,,,,,,,
"COEESRDM","ErgoFlex Space Office Chair - High Back Red",,,,,,,,
