SKU,Custom_Title,Type,Is_Require,Option_Price,Option_Price_Type,Value_Title,Value_Sku,Value_Price,Value_Price_Type,Max_Characters,Value_Setup_Price,Value_Setup_Price_Type,Sort_Order,Option_Sort_Order,File_Extension,Image_Size_X,Image_Size_Y
ANEOHBKP,Warranty,radio,1,,fixed,"1YR Warranty,2YR Warranty,3YR Warranty",,"0,50,86",fixed,0,,,0,0,,,
ANEOHCRP,Warranty,radio,1,,fixed,"1YR Warranty,2YR Warranty,3YR Warranty",,"0,50,86",fixed,0,,,0,0,,,
ANMOMBKM,Warranty,radio,1,,fixed,"1YR Warranty,2YR Warranty,3YR Warranty",,"0,50,86",fixed,0,,,0,0,,,
ANMOHBKM,Warranty,radio,1,,fixed,"1YR Warranty,2YR Warranty,3YR Warranty",,"0,50,86",fixed,0,,,0,0,,,
LFBVLBKM,Warranty,radio,1,,fixed,"1YR Warranty,2YR Warranty,3YR Warranty",,"0,50,86",fixed,0,,,0,0,,,
YSEMMGRF,Warranty,radio,1,,fixed,"1YR Warranty,2YR Warranty,3YR Warranty",,"0,50,86",fixed,0,,,0,0,,,
YSMCLBKM,Warranty,radio,1,,fixed,"1YR Warranty,2YR Warranty,3YR Warranty",,"0,50,86",fixed,0,,,0,0,,,
YSMCHBKM,Warranty,radio,1,,fixed,"1YR Warranty,2YR Warranty,3YR Warranty",,"0,50,86",fixed,0,,,0,0,,,
YSMCLWHM,Warranty,radio,1,,fixed,"1YR Warranty,2YR Warranty,3YR Warranty",,"0,50,86",fixed,0,,,0,0,,,
YSMCHWHM,Warranty,radio,1,,fixed,"1YR Warranty,2YR Warranty,3YR Warranty",,"0,50,86",fixed,0,,,0,0,,,
ZSSLPBLC,Warranty,radio,1,,fixed,"1YR Warranty,2YR Warranty,3YR Warranty",,"0,50,86",fixed,0,,,0,0,,,
ZSSLPGRM,Warranty,radio,1,,fixed,"1YR Warranty,2YR Warranty,3YR Warranty",,"0,50,86",fixed,0,,,0,0,,,
ANBRDBKL,Warranty,radio,1,,fixed,"1YR Warranty,2YR Warranty,3YR Warranty",,"0,50,86",fixed,0,,,0,0,,,
YSESPHBKL,Warranty,radio,1,,fixed,"1YR Warranty,2YR Warranty,3YR Warranty",,"0,50,86",fixed,0,,,0,0,,,
