SKU,Custom_Title,Type,Is_Require,Option_Price,Option_Price_Type,Value_Title,Value_Sku,Value_Price,Value_Price_Type,Max_Characters,Value_Setup_Price,Value_Setup_Price_Type,Sort_Order,Option_Sort_Order,File_Extension,Image_Size_X,Image_Size_Y
YSEMNBKL,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
YSEMNBKL,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
YSEMNBKL,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
YSEMNWHL,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
YSEMNWHL,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
YSEMNWHL,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
TIROMBKP,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
TIROMBKP,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
TIROMBKP,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
TICOMBKP,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
TICOMBKP,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
TICOMBKP,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
GFOFCBKW,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
GFOFCBKW,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
GFOFCBKW,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
LXMTWHF,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
LXMTWHF,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
LXMTWHF,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
EBCLOGGA,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
EBCLOGGA,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
EBCLOGGA,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
ZSSLPBLC-CUSHION,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
ZSSLPBLC-CUSHION,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
ZSSLPBLC-CUSHION,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
QD800B,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
QD800B,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
QD800B,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
QD800W,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
QD800W,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
QD800W,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
QD800,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
QD800,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
QD800,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
JT20074,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
JT20074,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
JT20074,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
JT20113,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
JT20113,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
JT20113,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
TK401,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
TK401,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
TK401,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-020,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-020,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-020,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-019,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-019,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-019,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-023,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-023,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-023,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-017,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-017,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-017,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-018,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-018,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-018,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-021,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-021,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-021,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-022,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-022,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-022,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-025b,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-025b,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-025b,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-012,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-012,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-012,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-013,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-013,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-013,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-014a,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-014a,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-014a,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-014b,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-014b,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-014b,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-015,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-015,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-015,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-016,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-016,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-016,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-008,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-008,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-008,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
UR11-009,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,0,0
UR11-009,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,0,0
UR11-009,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,0,0
MSTDCWHA,Warranty,radio,1,,,"1YR Warranty",,0.0000,fixed,0,,,0,3,,,
MSTDCWHA,Warranty,radio,1,,,"2YR Warranty",,50.0000,fixed,0,,,0,3,,,
MSTDCWHA,Warranty,radio,1,,,"3YR Warranty",,86.0000,fixed,0,,,0,3,,,
