Item added to your cart,Item1 added to your cart
Write your own review,Write your own review
How do you rate this product?,How do you rate this product?
Summary of Your Review,Summary of Your Review
Review,Review
Send,Send
Required Fields,Required Fields
Comments & Reviews,Comments & Reviews
Quanity,Quanity
Message,Message
You're reviewing:,You're reviewing:
There are no products matching the selection.,There are no products matching the selection.
More Information,More Information
Pre-Order Now,Pre-Order Now
Related Furniture,Related Furniture
Browse By,Browse By
Category,Category
Please enter the address.,Please enter the address.
Please enter the Phone number.,Please enter the Phone number.
You're purchasing,You're purchasing
Billing &<br/> Delivery details,Billing &<br>Delivery details
How would you<br/> like to pay for<br/> your order?,How would you<br>like to pay for<br>your order?
Please enter the postcode.,Please enter the postcode.
Included,Included
Upgraded for,Upgraded for
"An invalid postcode has been entered, please try again","An invalid postcode has been entered, please try again"
Please enter postcode for estimated delivery cost,Please enter postcode for estimated delivery cost
Estimated delivery cost calculated successfully.,Estimated delivery cost calculated successfully.
Tax,Includes: GST of
Shipping & Handling ,Delivery of 
Account Details:,Account Details:
Send Check to:,Bank Account Details:
Best Sellers,Best Sellers
More Best Sellers,More Best Sellers
SHIP_IN_%s_HOURS,Usually sent within %s hours
SHIP_IN_%s_B_DAYS,Usually sent within %s business days
